City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Saskylakh,RU,2020-07-12 21:11:58,71.92,114.08,59.54,72,89,16.42,overcast clouds,0,0
1,Rikitea,PF,2020-07-12 21:12:14,-23.12,-134.97,71.04,71,0,16.71,clear sky,0,0
2,Chaman,PK,2020-07-12 21:15:37,30.92,66.45,75.09,25,0,5.64,clear sky,0,0
3,Ushuaia,AR,2020-07-12 21:12:45,-54.8,-68.3,35.6,94,40,18.34,scattered clouds,0,0
4,Narsaq,GL,2020-07-12 21:12:41,60.92,-46.05,57.2,50,100,6.93,overcast clouds,0,0
5,Ostrovnoy,RU,2020-07-12 21:15:38,68.05,39.51,48.11,91,100,7.07,overcast clouds,0,0
6,Moroni,KM,2020-07-12 21:15:38,-11.7,43.26,76.24,72,4,3.38,clear sky,0,0
7,Miri,MY,2020-07-12 21:15:38,4.41,114.01,78.01,100,40,3.47,scattered clouds,0,0
8,Margate,GB,2020-07-12 21:15:38,51.38,1.39,60.01,69,86,1.01,overcast clouds,0,0
9,Beian,NO,2020-07-12 21:15:39,63.66,9.57,51.8,81,75,14.99,shower rain,0,0
10,Tirumullaivasal,IN,2020-07-12 21:15:39,11.23,79.83,83.34,70,90,11.63,light rain,0,0
11,Sao Filipe,CV,2020-07-12 21:15:14,14.9,-24.5,74.53,79,50,6.4,scattered clouds,0,0
12,Olafsvik,IS,2020-07-12 21:15:26,64.89,-23.71,51.37,81,67,3.42,broken clouds,0,0
13,Baykit,RU,2020-07-12 21:15:39,61.67,96.37,55.17,89,77,1.92,broken clouds,0,0
14,Tezu,IN,2020-07-12 21:15:21,27.92,96.17,75.06,86,100,2.91,moderate rain,0,0
15,Chokurdakh,RU,2020-07-12 21:15:41,70.63,147.92,61.21,56,73,10.42,broken clouds,0,0
16,Kenora,CA,2020-07-12 21:15:41,49.82,-94.43,75.2,50,75,4.7,shower rain,0,0
17,Severo-Kurilsk,RU,2020-07-12 21:15:41,50.68,156.12,49.71,92,100,9.19,overcast clouds,0,0
18,Atuona,PF,2020-07-12 21:15:41,-9.8,-139.03,80.6,73,1,22.46,clear sky,0,0
19,Alofi,NU,2020-07-12 21:15:42,-19.06,-169.92,75.2,83,100,21.92,overcast clouds,0,0
20,Paamiut,GL,2020-07-12 21:14:52,61.99,-49.67,43.43,86,100,2.04,light rain,0,0
21,Aykhal,RU,2020-07-12 21:15:24,66.0,111.5,53.6,76,75,4.47,broken clouds,0,0
22,Gap,FR,2020-07-12 21:15:42,44.67,6.0,62.01,75,3,2.15,clear sky,0,0
23,Sao Joao Da Barra,BR,2020-07-12 21:15:43,-21.64,-41.05,75.2,73,89,8.05,overcast clouds,0,0
24,Thompson,CA,2020-07-12 21:13:31,55.74,-97.86,71.6,56,75,6.93,broken clouds,0,0
25,Jamestown,US,2020-07-12 21:11:10,42.1,-79.24,75.0,60,1,12.75,clear sky,0,0
26,Hobart,AU,2020-07-12 21:13:09,-42.88,147.33,39.99,93,75,5.82,broken clouds,0,0
27,Caborca,MX,2020-07-12 21:15:43,30.58,-111.1,106.0,26,6,4.0,clear sky,0,0
28,Boguchany,RU,2020-07-12 21:15:44,58.38,97.45,53.46,83,7,2.28,clear sky,0,0
29,Luderitz,NA,2020-07-12 21:11:54,-26.65,15.16,55.4,93,3,1.12,clear sky,0,0
30,Georgetown,MY,2020-07-12 21:15:44,5.41,100.34,80.6,94,20,3.04,few clouds,0,0
31,Avarua,CK,2020-07-12 21:11:11,-21.21,-159.78,71.6,88,96,10.29,light rain,0,0
32,Norman Wells,CA,2020-07-12 21:15:44,65.28,-126.83,60.8,77,75,6.93,broken clouds,0,0
33,San Patricio,MX,2020-07-12 21:15:44,19.22,-104.7,89.6,75,40,11.41,scattered clouds,0,0
34,Puerto Ayora,EC,2020-07-12 21:15:44,-0.74,-90.35,70.0,85,88,3.0,overcast clouds,0,0
35,Aksu,CN,2020-07-12 21:15:09,41.12,80.26,73.17,35,11,3.42,few clouds,0,0
36,Turukhansk,RU,2020-07-12 21:15:45,65.82,87.98,56.35,78,100,8.28,overcast clouds,0,0
