City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Chaman,PK,75.09,clear sky,30.92,66.45,Niamatt parda Center
6,Moroni,KM,76.24,clear sky,-11.7,43.26,Hotel les Arcades
7,Miri,MY,78.01,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
10,Tirumullaivasal,IN,83.34,light rain,11.23,79.83,"MATHAMPATTINAM, MODUNUTTI GROUP"
14,Tezu,IN,75.06,moderate rain,27.92,96.17,Circuit House
16,Kenora,CA,75.2,shower rain,49.82,-94.43,Maynard Lake Lodge
18,Atuona,PF,80.6,clear sky,-9.8,-139.03,Villa Enata
19,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,Taloa Heights
23,Sao Joao Da Barra,BR,75.2,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
25,Jamestown,US,75.0,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
30,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
33,San Patricio,MX,89.6,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
44,San Felipe,VE,79.77,moderate rain,10.34,-68.74,Posada Llovizna Rodríguez
45,Kavaratti,IN,82.65,light rain,10.57,72.64,Bismillah Hotel And Lodging
54,Umm Lajj,SA,85.05,clear sky,25.02,37.27,Moon light Furnished Units
59,Aden,YE,87.21,broken clouds,12.78,45.04,Sama Emirate Hotel
62,Butaritari,KI,83.35,scattered clouds,3.07,172.79,Isles Sunset Lodge
64,Lompoc,US,78.01,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
66,Hilo,US,79.0,light rain,19.73,-155.09,Hilo Hawaiian Hotel
68,Katsina,NG,76.01,scattered clouds,12.99,7.6,Katsina Motel
71,Arraial Do Cabo,BR,78.8,broken clouds,-22.97,-42.03,Pousada Porto Praia
74,Guerrero Negro,MX,87.15,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
76,Bela,IN,88.12,broken clouds,25.93,81.98,Siddharth Hotel
78,Oliveira Dos Brejinhos,BR,76.32,clear sky,-12.32,-42.9,Hotel Paraiso
79,Lao Cai,VN,75.25,overcast clouds,22.48,103.95,Legend Hotel
80,Kavieng,PG,82.36,overcast clouds,-2.57,150.8,Nusa Island Retreat
81,Sabang,ID,82.35,overcast clouds,5.89,95.32,Hotel Citra
84,Tshikapa,CD,75.6,scattered clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
88,Acapulco,MX,87.8,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
90,Cacu,BR,77.88,overcast clouds,-18.56,-51.13,Império Hotel
105,Kalaleh,IR,77.0,few clouds,37.38,55.49,عطر و ادکلن پارسیس
116,Junction City,US,89.6,clear sky,39.03,-96.83,Comfort Inn Express Junction City
118,Kapaa,US,80.6,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
119,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
120,Aquiraz,BR,78.8,light rain,-3.9,-38.39,Hotel Laguna Blu
122,Makakilo City,US,87.8,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
123,Trairi,BR,77.54,light rain,-3.28,-39.27,Pousada Field Lilies - Trairi
124,Barcelos,PT,82.0,clear sky,41.54,-8.62,Hotel Do Terço
126,Meulaboh,ID,76.26,overcast clouds,4.14,96.13,Kost Pria
128,Palmer,US,88.0,scattered clouds,42.16,-72.33,Wedgewood Motel
131,Saint Anthony,US,84.2,few clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
132,Namatanai,PG,75.92,moderate rain,-3.67,152.43,Namatanai Hotel
145,Hamilton,US,84.0,broken clouds,39.18,-84.53,Six Acres Bed & Breakfast
155,Victoria,HK,84.0,few clouds,22.29,114.16,Mini Hotel Central
158,Ahuimanu,US,84.2,few clouds,21.44,-157.84,Paradise Bay Resort
159,Cururupu,BR,77.34,scattered clouds,-1.83,-44.87,Pousada Través'cia
160,Lazaro Cardenas,MX,86.23,light rain,17.96,-102.2,Hotel Quinta Antigua
163,Mangrol,IN,83.08,light rain,21.12,70.12,Hotel The Royal Honours
166,Coahuayana,MX,82.4,broken clouds,18.73,-103.68,Hotel Los Arcos
176,Vila Velha,BR,75.99,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
179,Kulhudhuffushi,MV,83.16,few clouds,6.62,73.07,Haajy Guest House 1
180,Thunder Bay,CA,77.0,scattered clouds,48.4,-89.32,Victoria Inn Hotel and Convention Centre
186,Marsa Matruh,EG,75.33,clear sky,31.35,27.25,Beau Site
188,Labuhan,ID,75.38,broken clouds,-6.88,112.21,bador sepret
189,Sao Felix Do Xingu,BR,83.61,broken clouds,-6.64,-51.99,Apart Hotel Rio Xingu
190,Hithadhoo,MV,85.28,overcast clouds,-0.6,73.08,Scoop Guest House
191,Lorengau,PG,81.52,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
193,Padang,ID,76.6,light rain,-0.95,100.35,Mercure Padang
194,Alibag,IN,78.8,light rain,18.64,72.88,"Radisson Blu Resort & Spa - Alibaug, India"
197,Bethel,US,88.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
202,Nantucket,US,80.01,clear sky,41.28,-70.1,Jared Coffin House
205,San Policarpo,PH,78.44,light rain,12.18,125.51,Zal-Ann Beach Resort
207,Ubrique,ES,79.0,clear sky,36.68,-5.45,Hotel Sierra de Ubrique
210,Tautira,PF,80.6,broken clouds,-17.73,-149.15,Pension Oaoa
214,Port Hawkesbury,CA,77.0,broken clouds,45.62,-61.35,Hearthstone Inn Port Hawkesbury
215,Nguru,NG,85.17,scattered clouds,12.88,10.45,Government Lodge
218,Bubaque,GW,78.93,light rain,11.28,-15.83,Casa Dora
221,Tucurui,BR,81.57,overcast clouds,-3.77,-49.67,BBB Rooms Centro Tucurui PA
222,Kirakira,SB,80.46,light rain,-10.45,161.92,SanBiz Lodge
223,Carupano,VE,82.72,clear sky,10.67,-63.26,Hotel La dorada
224,Salalah,OM,80.6,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
226,Vallenar,CL,78.62,broken clouds,-28.57,-70.76,Humacao Bed & Breakfast
232,Jackson,US,84.99,clear sky,42.42,-122.83,Agate Village Apartments
237,Zafra,ES,89.01,clear sky,38.42,-6.42,Parador de Zafra
240,Shenjiamen,CN,77.41,overcast clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
246,Puerto Cabezas,NI,80.6,thunderstorm with light rain,14.04,-83.39,Hotel Caribe
248,Faanui,PF,79.16,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
251,Marsh Harbour,BS,79.74,overcast clouds,26.54,-77.06,Abaco Beach Resort
252,Luxor,EG,87.91,clear sky,25.7,32.64,Iberotel Luxor
254,Zaozerne,UA,75.76,clear sky,45.16,33.28,"Molodozhnyy Lager' ""Pioner"""
260,Novo Aripuana,BR,87.33,scattered clouds,-5.12,-60.38,Hotel Ypê
264,Weiser,US,86.0,clear sky,44.25,-116.97,The Colonial Motel
267,Quang Ngai,VN,76.3,few clouds,15.12,108.8,Central Hotel
278,Nizwa,OM,87.53,broken clouds,22.93,57.53,Orient Apartments
279,Eyl,SO,82.65,scattered clouds,7.98,49.82,Amiin Hotel
280,La Ronge,CA,75.2,overcast clouds,55.1,-105.28,Northland Motor Hotel
287,Hami,CN,75.56,scattered clouds,42.8,93.45,Laoyutang Resort
288,Tayu,ID,75.63,overcast clouds,-6.54,111.05,Toko pakaian bu is Tayu
290,East Stroudsburg,US,79.0,broken clouds,41.0,-75.18,Hampton Inn Stroudsburg/Poconos
294,San Andres,CO,87.8,broken clouds,12.58,-81.7,Hotel Arena Blanca
296,San Quintin,MX,79.47,light rain,30.48,-115.95,Old Mill Hotel
