City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kargil,IN,2020-07-11 22:25:49,34.57,76.1,53.91,46,50,5.7
1,Isangel,VU,2020-07-11 22:19:28,-19.55,169.27,77.0,73,20,12.75
2,Kaitangata,NZ,2020-07-11 22:25:16,-46.28,169.85,51.01,60,74,15.99
3,Longyearbyen,SJ,2020-07-11 22:19:17,78.22,15.64,44.6,70,40,28.86
4,Busselton,AU,2020-07-11 22:23:53,-33.65,115.33,46.0,76,0,15.99
5,Atuona,PF,2020-07-11 22:23:53,-9.8,-139.03,79.41,78,40,16.96
6,Fortuna,US,2020-07-11 22:24:56,40.6,-124.16,70.0,68,90,11.41
7,Rikitea,PF,2020-07-11 22:23:51,-23.12,-134.97,69.26,69,11,17.4
8,Banikoara,BJ,2020-07-11 22:25:50,11.3,2.44,77.76,79,57,3.15
9,Lermontovka,RU,2020-07-11 22:25:50,47.15,134.34,65.05,85,100,2.93
10,Virginia Beach,US,2020-07-11 22:21:45,36.85,-75.98,91.99,43,20,16.11
11,Port Lincoln,AU,2020-07-11 22:25:03,-34.73,135.87,52.02,82,10,10.76
12,Jianhu,CN,2020-07-11 22:25:51,29.98,120.57,78.8,100,20,3.91
13,Udachnyy,RU,2020-07-11 22:25:51,66.42,112.4,53.6,76,20,8.95
14,Punta Arenas,CL,2020-07-11 22:23:49,-53.15,-70.92,33.8,74,40,9.17
15,Victoria,HK,2020-07-11 22:22:27,22.29,114.16,84.0,74,70,8.99
16,Mataura,NZ,2020-07-11 22:23:52,-46.19,168.86,44.15,93,69,3.31
17,Albany,US,2020-07-11 22:20:10,42.6,-73.97,84.0,75,100,8.3
18,Tasiilaq,GL,2020-07-11 22:24:25,65.61,-37.64,44.6,75,53,17.22
19,Salalah,OM,2020-07-11 22:21:41,17.02,54.09,80.6,94,90,5.82
20,Hermanus,ZA,2020-07-11 22:24:09,-34.42,19.23,50.0,77,1,5.99
21,Bengkulu,ID,2020-07-11 22:23:50,-3.8,102.27,75.18,87,35,4.14
22,Yellowknife,CA,2020-07-11 22:23:56,62.46,-114.35,75.0,56,75,8.05
23,Saint-Philippe,RE,2020-07-11 22:24:01,-21.36,55.77,68.0,77,45,6.93
24,Cape Town,ZA,2020-07-11 22:22:25,-33.93,18.42,53.01,87,57,9.17
25,Ushuaia,AR,2020-07-11 22:23:36,-54.8,-68.3,35.6,80,20,18.34
26,Kavieng,PG,2020-07-11 22:24:38,-2.57,150.8,82.89,75,100,10.83
27,Georgetown,MY,2020-07-11 22:24:24,5.41,100.34,77.0,88,20,5.48
28,Hobart,AU,2020-07-11 22:22:02,-42.88,147.33,46.0,93,75,3.36
29,Lake Charles,US,2020-07-11 22:25:54,30.21,-93.2,97.0,56,40,3.36
30,Koltubanovskiy,RU,2020-07-11 22:25:54,52.94,52.03,67.89,96,16,6.31
31,Pisco,PE,2020-07-11 22:25:29,-13.7,-76.22,62.6,77,40,9.17
32,Gamba,GA,2020-07-11 22:25:55,-2.65,10.0,72.55,90,58,6.04
33,Vilhena,BR,2020-07-11 22:22:13,-12.74,-60.15,84.2,42,0,9.17
34,Saldanha,ZA,2020-07-11 22:25:09,-33.01,17.94,44.6,87,25,2.24
35,Kachug,RU,2020-07-11 22:25:55,53.96,105.88,61.56,90,96,2.98
36,Bredasdorp,ZA,2020-07-11 22:19:37,-34.53,20.04,46.4,81,0,4.7
37,Thompson,CA,2020-07-11 22:19:43,55.74,-97.86,62.6,72,90,2.24
38,Chuy,UY,2020-07-11 22:24:47,-33.7,-53.46,44.76,69,23,5.39
39,Nome,US,2020-07-11 22:25:56,64.5,-165.41,70.0,52,20,8.05
40,Clarksburg,US,2020-07-11 22:25:56,39.28,-80.34,81.0,51,40,16.11
41,New Norfolk,AU,2020-07-11 22:24:12,-42.78,147.06,46.0,92,50,1.28
42,Bluff,NZ,2020-07-11 22:23:52,-46.6,168.33,49.64,76,99,19.82
43,Eureka,US,2020-07-11 22:25:01,40.8,-124.16,70.0,30,18,5.99
44,Ilulissat,GL,2020-07-11 22:24:19,69.22,-51.1,46.4,70,75,5.82
45,San Patricio,MX,2020-07-11 22:23:54,19.22,-104.7,86.0,74,75,6.93
46,Qaanaaq,GL,2020-07-11 22:23:55,77.48,-69.36,46.38,57,17,2.66
